timestamp,pid,process_name,cpu_usage,ram_usage,category,alias_name
2026-04-03T15:52:20.152402900,1672,LockApp.exe,3.042920247062635E-4,1.571733936879165E-4,UNCATEGORIZED,LockApp.exe
2026-04-03T15:52:20.152402900,16776,OneDrive.Sync.Service.exe,0.004005596025906141,0.08966742109895637,UNCATEGORIZED,OneDrive.Sync.Service.exe
2026-04-03T15:52:20.152402900,4232,java.exe,9.56762925298954,6.389294920155916,OTHER,Kurac
2026-04-03T15:52:20.153409600,9104,RtkAudUService64.exe,4.968099204872769E-5,1.571733936879165E-4,UNCATEGORIZED,RtkAudUService64.exe
2026-04-03T15:52:20.153409600,10136,RuntimeBroker.exe,0.001182436620747146,0.043615616748396834,UNCATEGORIZED,RuntimeBroker.exe
2026-04-03T15:52:20.153409600,10140,chrome.exe,0.15291123104574217,1.2392336225323777,FUN,chrome.exe
2026-04-03T15:52:20.153409600,1948,CalculatorApp.exe,2.3825822581016133E-5,0.002396894253740727,UNCATEGORIZED,CalculatorApp.exe
2026-04-03T15:52:20.153409600,15004,RuntimeBroker.exe,2.0573875525408997E-6,8.251603168615616E-4,UNCATEGORIZED,RuntimeBroker.exe
2026-04-03T15:52:20.153409600,4252,svchost.exe,1.3072782716375261E-5,0.007544322897019992,UNCATEGORIZED,svchost.exe
2026-04-03T15:52:20.153409600,18588,RuntimeBroker.exe,3.6014619494263505E-4,0.013359738463472904,UNCATEGORIZED,RuntimeBroker.exe
2026-04-03T15:52:20.153409600,12448,LogiAiPromptBuilder.exe,0.02290278156763312,0.09905853137180938,UNCATEGORIZED,LogiAiPromptBuilder.exe
2026-04-03T15:52:20.153409600,8864,logioptionsplus_agent.exe,0.15582890669044153,0.43564535395448256,UNCATEGORIZED,logioptionsplus_agent.exe
2026-04-03T15:52:20.153409600,10916,FnHotkeyUtility.exe,0.0019762302558639557,0.020118194392053312,UNCATEGORIZED,FnHotkeyUtility.exe
2026-04-03T15:52:20.153409600,10148,unsecapp.exe,1.502245855564339E-4,0.009233936879165095,UNCATEGORIZED,unsecapp.exe
2026-04-03T15:52:20.153409600,21416,msedge.exe,0.003766858348351717,0.1268782220545706,UNCATEGORIZED,msedge.exe
2026-04-03T15:52:20.153409600,9640,StartMenuExperienceHost.exe,0.001353358477418401,0.05430340751917515,UNCATEGORIZED,StartMenuExperienceHost.exe
2026-04-03T15:52:20.153409600,16040,Everything.exe,0.007634604634185179,0.858520369671822,UNCATEGORIZED,Everything.exe
2026-04-03T15:52:20.153409600,4520,sihost.exe,0.0019771291462429646,0.05536432792656859,UNCATEGORIZED,sihost.exe
2026-04-03T15:52:20.153409600,9900,svchost.exe,2.424149059080504E-4,0.02113982145102477,UNCATEGORIZED,svchost.exe
2026-04-03T15:52:20.153409600,12204,RuntimeBroker.exe,0.0016768758097537174,0.018900100590971962,UNCATEGORIZED,RuntimeBroker.exe
2026-04-03T15:52:20.153409600,20144,chrome.exe,9.011165808616964E-4,0.09277159562429271,FUN,chrome.exe
2026-04-03T15:52:20.153409600,16824,chrome.exe,0.0012817811704214836,0.11913743241544071,FUN,chrome.exe
2026-04-03T15:52:20.153409600,13500,UserOOBEBroker.exe,5.389329403883885E-5,0.008290896517037596,UNCATEGORIZED,UserOOBEBroker.exe
2026-04-03T15:52:20.153409600,12988,chrome.exe,2.202201491399273E-5,0.005068841946435307,FUN,chrome.exe
2026-04-03T15:52:20.153409600,13244,idea64.exe,0.6512720462793357,26.196718219539797,UNCATEGORIZED,idea64.exe
2026-04-03T15:52:20.153409600,1724,msedgewebview2.exe,5.000179085466527E-4,0.08290896517037596,UNCATEGORIZED,msedgewebview2.exe
2026-04-03T15:52:20.153409600,10172,chrome.exe,0.21461118666682763,2.3637699610209983,FUN,chrome.exe
2026-04-03T15:52:20.153409600,16316,msedgewebview2.exe,1.6110513035394737E-4,0.012377404752923425,UNCATEGORIZED,msedgewebview2.exe
2026-04-03T15:52:20.153409600,16832,msedge.exe,5.6821615618612847E-5,0.0014145605431912485,UNCATEGORIZED,msedge.exe
